FlightNumber,OriginAirportCode,DestinationAirportCode,AirlineICAO,AircraftRegNumber,ScheduledDeparture,ScheduledArrival,ActualDeparture,ActualArrival,Status,AvailableBusinessSeats,AvailableEconomySeats,BasePrice
WY101,MCT,DXB,OMAE,A4O-AA,2026-06-15T08:00:00,2026-06-15T10:00:00,,,Scheduled,20,130,150.00
WY102,DXB,MCT,OMAE,A4O-AA,2026-06-20T18:00:00,2026-06-20T20:00:00,,,Scheduled,20,130,145.00
EK201,DXB,LHR,UAEU,A6-ENA,2026-06-15T14:00:00,2026-06-15T18:30:00,,,Scheduled,70,280,500.00
EK202,LHR,DXB,UAEU,A6-ENA,2026-06-22T10:00:00,2026-06-22T20:00:00,,,Scheduled,70,280,490.00
QR301,DOH,JFK,QATL,A7-BAA,2026-06-16T09:00:00,2026-06-16T15:00:00,,,Scheduled,100,400,800.00
QR302,JFK,DOH,QATL,A7-BAA,2026-06-23T22:00:00,2026-06-24T18:00:00,,,Scheduled,100,400,780.00
BA401,LHR,JFK,BAWE,G-XWBA,2026-06-17T11:00:00,2026-06-17T14:00:00,,,Boarding,50,250,750.00
BA402,JFK,LHR,BAWE,G-XWBA,2026-06-24T09:00:00,2026-06-24T21:00:00,,,Scheduled,50,250,730.00
WY503,MCT,DOH,OMAE,A4O-AA,2026-06-18T07:00:00,2026-06-18T08:30:00,,,Delayed,18,120,120.00
WY504,DOH,MCT,OMAE,A4O-AA,2026-06-25T12:00:00,2026-06-25T13:30:00,,,Scheduled,20,130,115.00
EK203,DXB,DOH,UAEU,A6-ENA,2026-06-19T06:00:00,2026-06-19T07:00:00,,,Scheduled,70,280,200.00
EK204,DOH,DXB,UAEU,A6-ENA,2026-06-26T15:00:00,2026-06-26T16:00:00,,,Scheduled,70,280,195.00
QR303,DOH,LHR,QATL,A7-BAA,2026-06-20T08:00:00,2026-06-20T13:00:00,,,Scheduled,100,400,650.00
QR304,LHR,DOH,QATL,A7-BAA,2026-06-27T14:00:00,2026-06-27T23:00:00,,,Scheduled,100,400,640.00
WY105,MCT,LHR,OMAE,A4O-AA,2026-06-21T02:00:00,2026-06-21T08:00:00,,,Cancelled,0,0,400.00
